Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
3H,AKV,YIK,DeHavilland Dash-8,DHC-8,31,"1,271","185,566",31,"1,271","185,566",0,0,0,0.00%,0.00%,0.00%
3H,AKV,YPX,DeHavilland Dash-8,DHC-8,31,"1,271","83,886",31,"1,271","83,886",0,0,0,0.00%,0.00%,0.00%
3H,XGR,YVP,Beechcraft,BET,4,36,"3,456",4,36,"3,456",0,0,0,0.00%,0.00%,0.00%
3H,XGR,YVP,DeHavilland,DHC-6 Twin Otter,46,874,"83,904",44,836,"80,256",2,38,"3,648",4.50%,4.50%,4.50%
3H,XGR,YVP,DeHavilland Dash-8,DHC-8,4,164,"15,744",5,205,"19,680",-1,-41,"-3,936",-20.00%,-20.00%,-20.00%
3H,YGL,YGW,DeHavilland,DHC-6 Twin Otter,14,266,"30,324",13,247,"28,158",1,19,"2,166",7.70%,7.70%,7.70%
3H,YGL,YPX,B737-200,B737-200 Mixed Configurations,27,"3,024","1,339,632",31,"3,472","1,538,096",-4,-448,"-198,464",-12.90%,-12.90%,-12.90%
3H,YGL,YUL,B737-200,B737-200 Mixed Configurations,31,"3,472","2,051,952",31,"3,472","2,051,952",0,0,0,0.00%,0.00%,0.00%
3H,YGW,YGL,DeHavilland,DHC-6 Twin Otter,14,266,"30,324",13,247,"28,158",1,19,"2,166",7.70%,7.70%,7.70%
3H,YGW,YSK,DeHavilland,DHC-6 Twin Otter,9,171,"17,784",9,171,"17,784",0,0,0,0.00%,0.00%,0.00%
3H,YGW,YSK,DeHavilland Dash-8,DHC-8,5,205,"21,320",4,164,"17,056",1,41,"4,264",25.00%,25.00%,25.00%
3H,YGW,YUD,DeHavilland Dash-8,DHC-8,26,"1,066","106,600",27,"1,107","110,700",-1,-41,"-4,100",-3.70%,-3.70%,-3.70%
3H,YGW,YUL,DeHavilland Dash-8,DHC-8,31,"1,271","890,971",31,"1,271","890,971",0,0,0,0.00%,0.00%,0.00%
3H,YIK,AKV,DeHavilland Dash-8,DHC-8,31,"1,271","185,566",31,"1,271","185,566",0,0,0,0.00%,0.00%,0.00%
3H,YIK,YZG,DeHavilland Dash-8,DHC-8,31,"1,271","19,065",31,"1,271","19,065",0,0,0,0.00%,0.00%,0.00%
3H,YKG,YPJ,DeHavilland,DHC-6 Twin Otter,14,266,"13,566",13,247,"12,597",1,19,969,7.70%,7.70%,7.70%
3H,YKG,YPJ,DeHavilland Dash-8,DHC-8,5,205,"10,455",5,205,"10,455",0,0,0,0.00%,0.00%,0.00%
3H,YKG,YQC,DeHavilland Dash-8,DHC-8,31,"1,271","118,203",31,"1,271","118,203",0,0,0,0.00%,0.00%,0.00%
3H,YKG,YVP,DeHavilland,DHC-6 Twin Otter,12,228,"32,604",13,247,"35,321",-1,-19,"-2,717",-7.70%,-7.70%,-7.70%
3H,YKG,YVP,DeHavilland Dash-8,DHC-8,26,"1,066","152,438",26,"1,066","152,438",0,0,0,0.00%,0.00%,0.00%
3H,YKL,YQB,DeHavilland Dash-8,DHC-8,23,943,"555,427",22,902,"531,278",1,41,"24,149",4.50%,4.50%,4.50%
3H,YKL,YVP,Beechcraft,BET,4,36,"8,496",5,45,"10,620",-1,-9,"-2,124",-20.00%,-20.00%,-20.00%
3H,YKL,YVP,DeHavilland Dash-8,DHC-8,14,574,"135,464",13,533,"125,788",1,41,"9,676",7.70%,7.70%,7.70%
3H,YKL,YWK,Beechcraft,BET,9,81,"10,530",9,81,"10,530",0,0,0,0.00%,0.00%,0.00%
3H,YKL,YZV,Beechcraft,BET,36,324,"103,032",35,315,"100,170",1,9,"2,862",2.90%,2.90%,2.90%
3H,YKL,YZV,DeHavilland Dash-8,DHC-8,9,369,"117,342",9,369,"117,342",0,0,0,0.00%,0.00%,0.00%
3H,YPH,YPX,DeHavilland Dash-8,DHC-8,31,"1,271","146,165",31,"1,271","146,165",0,0,0,0.00%,0.00%,0.00%
3H,YPH,YUD,DeHavilland Dash-8,DHC-8,31,"1,271","184,295",31,"1,271","184,295",0,0,0,0.00%,0.00%,0.00%
3H,YPH,YVP,Beechcraft,BET,5,45,"16,020",0,0,0,5,45,"16,020",,,
3H,YPH,YVP,DeHavilland Dash-8,DHC-8,18,738,"262,728",22,902,"321,112",-4,-164,"-58,384",-18.20%,-18.20%,-18.20%
3H,YPJ,YKG,DeHavilland,DHC-6 Twin Otter,26,494,"25,194",26,494,"25,194",0,0,0,0.00%,0.00%,0.00%
3H,YPJ,YKG,DeHavilland Dash-8,DHC-8,5,205,"10,455",5,205,"10,455",0,0,0,0.00%,0.00%,0.00%
3H,YPJ,YTQ,DeHavilland,DHC-6 Twin Otter,27,513,"24,111",26,494,"23,218",1,19,893,3.80%,3.80%,3.80%
3H,YPJ,YTQ,DeHavilland Dash-8,DHC-8,5,205,"9,635",5,205,"9,635",0,0,0,0.00%,0.00%,0.00%
