Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
TS,AGP,YUL,A310,A310,27,"6,750","23,989,500",37,"9,213","32,743,002",-10,"-2,463","-8,753,502",-27.00%,-26.70%,-26.70%
TS,AMS,YYZ,A310,A310,0,0,0,4,996,"3,717,072",-4,-996,"-3,717,072",-100.00%,-100.00%,-100.00%
TS,BCN,YUL,A310,A310,39,"9,750","35,919,000",39,"9,711","35,775,324",0,39,"143,676",0.00%,0.40%,0.40%
TS,BCN,YYZ,A310,A310,0,0,0,1,249,"995,502",-1,-249,"-995,502",-100.00%,-100.00%,-100.00%
TS,BOD,YUL,A310,A310,0,0,0,30,"7,470","25,689,330",-30,"-7,470","-25,689,330",-100.00%,-100.00%,-100.00%
TS,BRU,YUL,A310,A310,3,750,"2,596,500",2,498,"1,724,076",1,252,"872,424",50.00%,50.60%,50.60%
TS,BSL,YUL,A310,A310,0,0,0,11,"2,739","10,109,649",-11,"-2,739","-10,109,649",-100.00%,-100.00%,-100.00%
TS,CDG,YQB,A310,A310,40,"10,000","32,980,000",36,"8,964","29,563,272",4,"1,036","3,416,728",11.10%,11.60%,11.60%
TS,CDG,YUL,A310,A310,0,0,0,2,498,"1,714,614",-2,-498,"-1,714,614",-100.00%,-100.00%,-100.00%
TS,CDG,YYZ,A310,A310,15,"3,750","14,066,250",1,249,"933,999",14,"3,501","13,132,251",1400.00%,1406.00%,1406.00%
TS,CUN,YQB,A310,A310,14,"3,500","6,919,500",0,0,0,14,"3,500","6,919,500",,,
TS,CUN,YUL,A310,A310,0,0,0,13,"3,237","5,959,317",-13,"-3,237","-5,959,317",-100.00%,-100.00%,-100.00%
TS,CUN,YYZ,A310,A310,8,"2,000","3,230,000",0,0,0,8,"2,000","3,230,000",,,
TS,DUB,YYZ,A310,A310,61,"15,250","50,004,750",23,"5,727","18,778,833",38,"9,523","31,225,917",165.20%,166.30%,166.30%
TS,GLA,YYZ,A310,A310,26,"6,500","21,404,500",9,"2,241","7,379,613",17,"4,259","14,024,887",188.90%,190.00%,190.00%
TS,LGW,YUL,A310,A310,38,"9,500","31,065,000",37,"9,213","30,126,510",1,287,"938,490",2.70%,3.10%,3.10%
TS,LGW,YYZ,A310,A310,11,"2,750","9,834,000",0,0,0,11,"2,750","9,834,000",,,
TS,LIS,YUL,A310,A310,6,"1,500","4,893,000",16,"3,984","12,995,808",-10,"-2,484","-8,102,808",-62.50%,-62.30%,-62.30%
TS,LIS,YYZ,A310,A310,0,0,0,11,"2,739","9,794,664",-11,"-2,739","-9,794,664",-100.00%,-100.00%,-100.00%
TS,MAD,YUL,A310,A310,36,"9,000","31,140,000",25,"6,225","21,538,500",11,"2,775","9,601,500",44.00%,44.60%,44.60%
TS,MAN,YYZ,A310,A310,0,0,0,3,747,"2,565,198",-3,-747,"-2,565,198",-100.00%,-100.00%,-100.00%
TS,MRS,YUL,A310,A310,2,500,"1,871,500",1,249,"932,007",1,251,"939,493",100.00%,100.80%,100.80%
TS,NCE,YUL,A310,A310,9,"2,250","8,592,750",27,"6,723","25,675,137",-18,"-4,473","-17,082,387",-66.70%,-66.50%,-66.50%
TS,NTE,YUL,A310,A310,4,"1,000","3,327,000",5,"1,245","4,142,115",-1,-245,"-815,115",-20.00%,-19.70%,-19.70%
TS,OPO,YUL,A310,A310,0,0,0,13,"3,237","10,361,637",-13,"-3,237","-10,361,637",-100.00%,-100.00%,-100.00%
TS,OPO,YYZ,A310,A310,0,0,0,13,"3,237","11,381,292",-13,"-3,237","-11,381,292",-100.00%,-100.00%,-100.00%
TS,PAP,YUL,A310,A310,0,0,0,13,"3,237","6,007,872",-13,"-3,237","-6,007,872",-100.00%,-100.00%,-100.00%
TS,PRG,YUL,A310,A310,0,0,0,6,"1,494","5,774,310",-6,"-1,494","-5,774,310",-100.00%,-100.00%,-100.00%
TS,PUJ,YQB,A310,A310,13,"3,250","6,344,000",13,"3,237","6,318,624",0,13,"25,376",0.00%,0.40%,0.40%
TS,PUJ,YUL,A310,A310,0,0,0,12,"2,988","5,614,452",-12,"-2,988","-5,614,452",-100.00%,-100.00%,-100.00%
TS,PUJ,YYZ,A310,A310,0,0,0,3,747,"1,381,950",-3,-747,"-1,381,950",-100.00%,-100.00%,-100.00%
TS,TLS,YUL,A310,A310,27,"6,750","24,097,500",21,"5,229","18,667,530",6,"1,521","5,429,970",28.60%,29.10%,29.10%
TS,VCE,YUL,A310,A310,0,0,0,37,"9,213","36,511,119",-37,"-9,213","-36,511,119",-100.00%,-100.00%,-100.00%
TS,VCE,YYZ,A310,A310,0,0,0,26,"6,474","27,643,980",-26,"-6,474","-27,643,980",-100.00%,-100.00%,-100.00%
TS,YQB,CDG,A310,A310,39,"9,750","32,155,500",37,"9,213","30,384,474",2,537,"1,771,026",5.40%,5.80%,5.80%
TS,YQB,CUN,A310,A310,13,"3,250","6,425,250",0,0,0,13,"3,250","6,425,250",,,
TS,YQB,PUJ,A310,A310,12,"3,000","5,856,000",12,"2,988","5,832,576",0,12,"23,424",0.00%,0.40%,0.40%
TS,YQB,YUL,A310,A310,26,"6,500","942,500",13,"3,237","469,365",13,"3,263","473,135",100.00%,100.80%,100.80%
TS,YUL,AGP,A310,A310,28,"7,000","24,878,000",37,"9,213","32,743,002",-9,"-2,213","-7,865,002",-24.30%,-24.00%,-24.00%
TS,YUL,BCN,A310,A310,39,"9,750","35,919,000",40,"9,960","36,692,640",-1,-210,"-773,640",-2.50%,-2.10%,-2.10%
TS,YUL,BOD,A310,A310,0,0,0,29,"7,221","24,833,019",-29,"-7,221","-24,833,019",-100.00%,-100.00%,-100.00%
TS,YUL,BRU,A310,A310,3,750,"2,596,500",2,498,"1,724,076",1,252,"872,424",50.00%,50.60%,50.60%
TS,YUL,BSL,A310,A310,0,0,0,11,"2,739","10,109,649",-11,"-2,739","-10,109,649",-100.00%,-100.00%,-100.00%
TS,YUL,CDG,A310,A310,0,0,0,2,498,"1,714,614",-2,-498,"-1,714,614",-100.00%,-100.00%,-100.00%
TS,YUL,CUN,A310,A310,0,0,0,13,"3,237","5,959,317",-13,"-3,237","-5,959,317",-100.00%,-100.00%,-100.00%
TS,YUL,LGW,A310,A310,37,"9,250","30,247,500",38,"9,462","30,940,740",-1,-212,"-693,240",-2.60%,-2.20%,-2.20%
TS,YUL,LIS,A310,A310,5,"1,250","4,077,500",29,"7,221","23,554,902",-24,"-5,971","-19,477,402",-82.80%,-82.70%,-82.70%
TS,YUL,MAD,A310,A310,36,"9,000","31,140,000",24,"5,976","20,676,960",12,"3,024","10,463,040",50.00%,50.60%,50.60%
TS,YUL,MRS,A310,A310,2,500,"1,871,500",1,249,"932,007",1,251,"939,493",100.00%,100.80%,100.80%
TS,YUL,NCE,A310,A310,9,"2,250","8,592,750",26,"6,474","24,724,206",-17,"-4,224","-16,131,456",-65.40%,-65.20%,-65.20%
TS,YUL,NTE,A310,A310,4,"1,000","3,327,000",5,"1,245","4,142,115",-1,-245,"-815,115",-20.00%,-19.70%,-19.70%
TS,YUL,OPO,A310,A310,0,0,0,13,"3,237","10,361,637",-13,"-3,237","-10,361,637",-100.00%,-100.00%,-100.00%
TS,YUL,PAP,A310,A310,0,0,0,13,"3,237","6,007,872",-13,"-3,237","-6,007,872",-100.00%,-100.00%,-100.00%
TS,YUL,PRG,A310,A310,0,0,0,11,"2,739","10,586,235",-11,"-2,739","-10,586,235",-100.00%,-100.00%,-100.00%
